,Name,Ranks,Points,PrevPoints,RankChange,CurrentYear_Avg,CurrentYear_WtAvg,Year1_Avg,Year1_WtAvg,Year2_Avg,Year2_WtAvg,Year3_Avg,Year3_WtAvg
0,Brazil,1,0(0),68,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,Germany,2,0(0),64,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,France,3,0(0),61,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,Denmark,4,0(0),60,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,Colombia,5,0(0),61,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,Czech Republic,6,0(0),61,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,Spain,7,0(0),60,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,Russia,8,0(0),60,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,Netherlands,9,0(0),59,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,Italy,10,0(0),58,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,Mexico,11,0(0),56,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,England,12,0(0),56,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,Portugal,13,0(0),56,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,Bulgaria,14,0(0),55,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,Romania,15,0(0),55,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,Sweden,16,0(0),55,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,Norway,17,0(0),55,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17,Argentina,18,0(0),52,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,Japan,19,0(0),53,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,Zambia,20,0(0),53,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20,Chile,21,0(0),50,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21,USA,22,0(0),54,-4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22,South Africa,23,0(0),54,-4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23,Slovakia,24,0(0),48,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24,Croatia,25,0(0),51,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,Tunisia,26,0(0),51,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26,Scotland,27,0(0),48,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27,Morocco,28,0(0),50,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28,Turkey,29,0(0),47,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29,Jamaica,30,0(0),47,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30,Paraguay,31,0(0),45,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31,Egypt,32,0(0),49,-4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,Australia,33,0(0),42,17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33,Austria,34,0(0),46,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34,Ecuador,35,0(0),46,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,Saudi Arabia,36,0(0),46,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36,Bolivia,37,0(0),45,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
37,Ghana,38,0(0),50,-13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
38,Republic of Ireland,39,0(0),46,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
39,Greece,40,0(0),46,-5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
40,Korea Republic,41,0(0),44,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41,Trinidad and Tobago,42,0(0),44,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42,Uruguay,43,0(0),44,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43,Belgium,44,0(0),44,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
44,Peru,45,0(0),40,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
45,Honduras,46,0(0),43,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
46,Côte d'Ivoire,47,0(0),42,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
47,Canada,48,0(0),44,-8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48,Lithuania,49,0(0),43,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,Zimbabwe,50,0(0),35,21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
50,Switzerland,51,0(0),43,-4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
51,Israel,52,0(0),41,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
52,Algeria,53,0(0),43,-4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
53,Yugoslavia,54,0(0),39,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
54,Gabon,55,0(0),43,-9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
55,Poland,56,0(0),41,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
56,Guinea,57,0(0),34,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
57,Senegal,58,0(0),37,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
58,Cameroon,59,0(0),39,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
59,Mali,60,0(0),35,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
60,Thailand,61,0(0),38,-4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
61,Iceland,62,0(0),37,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
62,Zaire,63,0(0),35,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
63,United Arab Emirates,64,0(0),37,-4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
64,Nigeria,64,0(0),36,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65,Costa Rica,66,0(0),35,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
66,Ukraine,67,0(0),37,-8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
67,Northern Ireland,68,0(0),36,-4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
68,Kuwait,69,0(0),36,-7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
69,Togo,70,0(0),31,17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
70,Cuba,71,0(0),35,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
71,Angola,72,0(0),35,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
72,Qatar,73,0(0),35,-4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
73,El Salvador,74,0(0),35,-9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
74,Sudan,75,0(0),34,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
75,Hungary,76,0(0),34,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
76,Cyprus,77,0(0),33,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
77,Finland,78,0(0),33,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
78,China PR,79,0(0),34,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
79,Uganda,80,0(0),33,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
80,IR Iran,81,0(0),33,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
81,Wales,82,0(0),33,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82,Mozambique,83,0(0),32,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
83,Latvia,84,0(0),33,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
84,FYR Macedonia,85,0(0),32,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
85,Sierra Leone,86,0(0),32,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
86,Lebanon,87,0(0),27,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
87,Malawi,88,0(0),30,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
88,Slovenia,89,0(0),34,-12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
89,Tanzania,90,0(0),29,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
90,Belarus,91,0(0),29,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
91,Oman,92,0(0),29,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
92,St Vincent and the Grenadines,93,0(0),28,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
93,Congo,94,0(0),26,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
94,Singapore,95,0(0),28,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
95,Georgia,96,0(0),27,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
96,Malaysia,97,0(0),27,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
97,Iraq,98,0(0),27,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
98,Burkina Faso,99,0(0),23,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99,Liberia,100,0(0),27,-6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100,Namibia,101,0(0),25,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
101,Vietnam,102,0(0),26,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
102,Panama,103,0(0),26,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
103,Estonia,104,0(0),26,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
104,Myanmar,105,0(0),25,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
105,Guatemala,106,0(0),25,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
106,Kenya,107,0(0),22,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
107,Armenia,108,0(0),23,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
108,Ethiopia,109,0(0),23,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
109,Uzbekistan,110,0(0),23,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
110,Barbados,111,0(0),23,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
111,Venezuela,112,0(0),23,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
112,Haiti,113,0(0),22,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113,Mauritania,114,0(0),22,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
114,Syria,115,0(0),21,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
115,New Zealand,116,0(0),16,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
116,Moldova,117,0(0),21,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
117,Albania,118,0(0),21,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
118,Bahrain,119,0(0),21,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
119,Indonesia,120,0(0),21,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
120,India,121,0(0),20,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
121,Malta,122,0(0),20,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
122,St Kitts and Nevis,123,0(0),20,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
123,Luxembourg,124,0(0),19,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
124,Azerbaijan,125,0(0),18,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
125,Sri Lanka,126,0(0),18,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
126,Grenada,127,0(0),18,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
127,Gambia,128,0(0),18,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
128,Benin,129,0(0),10,14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
129,Dominican Republic,130,0(0),16,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
130,Suriname,131,0(0),16,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
131,Niger,132,0(0),16,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
132,Guinea-Bissau,133,0(0),15,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
133,St Lucia,134,0(0),15,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
134,Hong Kong,135,0(0),18,-11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
135,Faroe Islands,136,0(0),14,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
136,Bangladesh,137,0(0),14,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
137,Burundi,138,0(0),13,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
138,Bosnia and Herzegovina,139,0(0),8,13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
139,Dominica,140,0(0),11,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
140,Madagascar,141,0(0),11,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
141,Turkmenistan,142,0(0),11,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
142,Netherlands Antilles,143,0(0),10,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
143,Jordan,144,0(0),9,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
144,Korea DPR,145,0(0),10,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
145,Antigua and Barbuda,146,0(0),10,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
146,Laos,147,0(0),9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
147,Cayman Islands,148,0(0),9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
