,Name,Ranks,Points,PrevPoints,RankChange,CurrentYear_Avg,CurrentYear_WtAvg,Year1_Avg,Year1_WtAvg,Year2_Avg,Year2_WtAvg,Year3_Avg,Year3_WtAvg
0,Spain,1,1484(1483.57),1532,0,676.64,676.64,815.39,407.69,604.54,181.36,1089.40,217.88
1,Germany,2,1257(1257.14),1273,0,497.45,497.45,818.37,409.18,583.08,174.92,877.88,175.58
2,Colombia,3,1219(1219.16),1206,0,792.81,792.81,486.63,243.31,347.37,104.21,394.16,78.83
3,Argentina,4,1210(1209.57),1204,0,650.94,650.94,577.13,288.57,390.12,117.04,765.14,153.03
4,Netherlands,5,1165(1165.09),1180,0,628.77,628.77,264.04,132.02,696.05,208.81,977.46,195.49
5,Italy,6,1142(1142.21),1142,0,544.15,544.15,678.43,339.22,571.68,171.50,436.66,87.33
6,Portugal,7,1099(1099.28),1099,0,464.53,464.53,679.50,339.75,549.39,164.82,650.90,130.18
7,Croatia,8,1098(1098.11),1098,0,563.31,563.31,561.77,280.88,570.30,171.09,414.13,82.83
8,Brazil,9,1089(1089.49),1095,0,637.09,637.09,351.54,175.77,428.77,128.63,739.96,147.99
9,Belgium,10,1079(1079.24),1079,0,784.88,784.88,234.30,117.15,380.30,114.09,315.58,63.12
10,Greece,11,1038(1037.57),1038,0,545.44,545.44,516.96,258.48,479.85,143.96,448.44,89.69
11,Uruguay,12,998(998.33),1016,0,360.11,360.11,633.61,316.81,580.32,174.10,736.59,147.32
12,Bosnia and Herzegovina,13,995(994.77),995,1,644.22,644.22,378.82,189.41,395.99,118.80,211.73,42.35
13,England,14,994(993.59),994,1,350.91,350.91,702.50,351.25,568.74,170.62,604.08,120.82
14,Switzerland,15,987(987.24),987,1,593.52,593.52,411.83,205.92,281.27,84.38,517.12,103.42
15,Russia,16,979(979),979,1,495.97,495.97,570.25,285.13,425.57,127.67,351.19,70.24
16,Ecuador,17,972(972.34),932,1,587.40,587.40,587.53,293.77,177.83,53.35,189.09,37.82
