,Name,Ranks,Points,PrevPoints,RankChange,CurrentYear_Avg,CurrentYear_WtAvg,Year1_Avg,Year1_WtAvg,Year2_Avg,Year2_WtAvg,Year3_Avg,Year3_WtAvg
0,Brazil,1,0(0),69,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,Germany,2,0(0),61,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,Russia,3,0(0),59,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,Italy,4,0(0),61,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,France,5,0(0),56,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,Spain,6,0(0),60,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,Sweden,7,0(0),53,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,Argentina,8,0(0),55,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,Colombia,9,0(0),51,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,Czech Republic,10,0(0),53,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,Netherlands,11,0(0),57,-5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,Mexico,12,0(0),54,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,Denmark,13,0(0),55,-4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,USA,14,0(0),53,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,Zambia,15,0(0),53,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,Ghana,15,0(0),52,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,Norway,17,0(0),52,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17,Romania,18,0(0),54,-7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,South Africa,19,0(0),50,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,Portugal,20,0(0),51,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20,Côte d'Ivoire,21,0(0),50,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21,Tunisia,22,0(0),49,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22,England,23,0(0),48,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23,Bulgaria,24,0(0),52,-7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24,Egypt,25,0(0),50,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,Switzerland,26,0(0),51,-5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26,Scotland,27,0(0),47,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27,Croatia,28,0(0),40,15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
