,Name,Ranks,Points,PrevPoints,RankChange,CurrentYear_Avg,CurrentYear_WtAvg,Year1_Avg,Year1_WtAvg,Year2_Avg,Year2_WtAvg,Year3_Avg,Year3_WtAvg
0,Brazil,1,0(0),71,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,Spain,2,0(0),63,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,Denmark,3,0(0),62,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,Germany,4,0(0),60,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,Russia,5,0(0),60,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,Netherlands,6,0(0),60,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,England,7,0(0),59,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,Italy,8,0(0),59,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,Mexico,9,0(0),59,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,Colombia,10,0(0),57,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,France,11,0(0),58,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,Romania,12,0(0),60,-8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,Argentina,13,0(0),57,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,Morocco,14,0(0),56,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,Norway,15,0(0),55,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,Czech Republic,16,0(0),56,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,Japan,17,0(0),55,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17,Bolivia,18,0(0),54,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,Zambia,19,0(0),54,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,Slovakia,20,0(0),53,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20,Tunisia,21,0(0),51,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21,Bulgaria,22,0(0),53,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22,Chile,23,0(0),52,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23,South Africa,24,0(0),53,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24,Sweden,25,0(0),52,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,Scotland,26,0(0),52,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26,Paraguay,27,0(0),52,-4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27,USA,28,0(0),52,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28,Ecuador,29,0(0),50,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29,Portugal,30,0(0),51,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30,Egypt,31,0(0),48,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31,Australia,32,0(0),50,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,Croatia,33,0(0),50,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33,Korea Republic,34,0(0),49,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34,Saudi Arabia,35,0(0),50,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,Peru,36,0(0),49,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36,Jamaica,37,0(0),47,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
37,Belgium,38,0(0),49,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
38,Yugoslavia,39,0(0),49,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
39,Côte d'Ivoire,40,0(0),45,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
40,Ghana,41,0(0),46,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41,Lithuania,42,0(0),43,13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42,Israel,43,0(0),44,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43,Austria,44,0(0),46,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
44,Cameroon,45,0(0),45,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
45,Greece,46,0(0),47,-6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
46,Algeria,47,0(0),42,13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
47,Canada,48,0(0),45,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48,Honduras,49,0(0),44,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,Uruguay,50,0(0),45,-6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
50,Kuwait,51,0(0),44,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
51,Turkey,52,0(0),46,-9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
52,Poland,53,0(0),44,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
53,Ukraine,54,0(0),44,-5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
54,Republic of Ireland,55,0(0),44,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
55,Costa Rica,56,0(0),43,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
56,Angola,57,0(0),42,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
57,China PR,58,0(0),43,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
58,Nigeria,59,0(0),42,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
59,IR Iran,60,0(0),43,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
60,Trinidad and Tobago,61,0(0),37,13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
61,Gabon,62,0(0),41,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
62,Zimbabwe,63,0(0),41,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
63,Switzerland,64,0(0),41,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
64,Finland,65,0(0),39,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65,United Arab Emirates,66,0(0),40,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
66,Mozambique,67,0(0),37,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
67,Thailand,68,0(0),40,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
68,Guinea,69,0(0),40,-5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
69,Senegal,70,0(0),40,-5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
70,Northern Ireland,71,0(0),39,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
71,Hungary,72,0(0),38,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
72,El Salvador,73,0(0),37,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
73,Latvia,74,0(0),37,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
74,Mali,75,0(0),38,-5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
75,Togo,76,0(0),35,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
76,Zaire,77,0(0),35,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
77,Iraq,78,0(0),36,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
78,FYR Macedonia,79,0(0),35,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
79,Namibia,80,0(0),34,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
80,Qatar,81,0(0),34,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
81,Oman,82,0(0),34,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82,Uzbekistan,83,0(0),34,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
83,Cyprus,84,0(0),33,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
84,Liberia,85,0(0),32,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
85,Sierra Leone,86,0(0),33,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
86,Lebanon,87,0(0),32,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
87,Iceland,88,0(0),33,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
88,Malawi,89,0(0),33,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
89,Malaysia,90,0(0),33,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
90,Wales,91,0(0),33,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
91,Uganda,92,0(0),33,-7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
92,Guatemala,93,0(0),32,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
