,Name,Ranks,Points,PrevPoints,RankChange,CurrentYear_Avg,CurrentYear_WtAvg,Year1_Avg,Year1_WtAvg,Year2_Avg,Year2_WtAvg,Year3_Avg,Year3_WtAvg
0,Germany,1,1729(1728.78),1725,0,1090.54,1090.54,568.45,284.23,751.40,225.42,642.96,128.59
1,Argentina,2,1534(1534.2),1538,0,937.59,937.59,595.26,297.63,717.86,215.36,418.10,83.62
2,Colombia,3,1456(1456.3),1450,0,805.97,805.97,660.82,330.41,741.43,222.43,487.45,97.49
3,Belgium,4,1430(1429.76),1417,0,849.03,849.03,671.42,335.71,534.75,160.43,422.95,84.59
4,Netherlands,5,1385(1384.79),1374,0,884.29,884.29,557.87,278.93,411.93,123.58,489.95,97.99
5,Brazil,6,1333(1332.97),1316,0,796.05,796.05,705.46,352.73,316.84,95.05,445.72,89.14
6,Portugal,7,1189(1189),1160,0,570.26,570.26,666.86,333.43,535.42,160.63,623.39,124.68
7,France,8,1168(1168.01),1160,-1,700.29,700.29,474.78,237.39,449.20,134.76,477.84,95.57
8,Uruguay,9,1146(1146.37),1135,1,585.86,585.86,665.09,332.55,275.77,82.73,726.15,145.23
9,Spain,10,1144(1144.48),1142,-1,420.42,420.42,709.53,354.77,814.33,244.30,624.97,124.99
10,Switzerland,11,1117(1116.66),1091,1,523.66,523.66,676.00,338.00,518.32,155.49,497.50,99.50
11,Italy,12,1112(1111.89),1103,-1,519.52,519.52,559.08,279.54,604.20,181.26,657.86,131.57
12,Costa Rica,13,1074(1074.36),995,3,696.76,696.76,460.81,230.40,332.38,99.72,237.37,47.47
13,Chile,14,1037(1036.65),1016,0,524.20,524.20,645.39,322.70,301.14,90.34,497.09,99.42
14,England,15,1028(1028.35),1032,-2,523.32,523.32,446.77,223.39,557.86,167.36,571.45,114.29
15,Romania,16,1022(1021.51),1014,-1,625.49,625.49,383.86,191.93,457.41,137.22,334.36,66.87
