,Name,Ranks,Points,PrevPoints,RankChange,CurrentYear_Avg,CurrentYear_WtAvg,Year1_Avg,Year1_WtAvg,Year2_Avg,Year2_WtAvg,Year3_Avg,Year3_WtAvg
0,Spain,1,1460(1460.44),1510,0,683.14,683.14,835.36,417.68,497.42,149.23,1051.92,210.38
1,Germany,2,1340(1340.13),1336,0,589.60,589.60,761.63,380.81,655.05,196.51,866.03,173.21
2,Portugal,3,1245(1245.23),1199,1,682.02,682.02,552.90,276.45,648.56,194.57,460.97,92.19
3,Colombia,4,1186(1186.08),1183,1,619.07,619.07,739.06,369.53,541.37,162.41,175.35,35.07
4,Uruguay,5,1181(1181.25),1126,1,692.90,692.90,274.21,137.10,751.22,225.37,629.42,125.88
5,Argentina,6,1174(1174.49),1234,-3,512.98,512.98,742.10,371.05,455.26,136.58,769.39,153.88
6,Brazil,6,1174(1174.14),1104,3,762.73,762.73,297.92,148.96,451.92,135.58,634.38,126.88
7,Switzerland,8,1161(1160.76),1123,-1,678.06,678.06,535.07,267.53,449.69,134.91,401.29,80.26
8,Italy,9,1115(1114.99),1112,-1,557.81,557.81,602.66,301.33,536.30,160.89,474.83,94.97
9,Greece,10,1082(1082.33),1038,3,586.67,586.67,494.61,247.30,502.05,150.62,488.73,97.75
10,England,11,1043(1042.8),1045,1,464.95,464.95,574.33,287.17,538.64,161.59,645.45,129.09
11,Belgium,12,1039(1038.51),1084,-2,552.65,552.65,642.41,321.20,291.45,87.43,386.10,77.22
12,USA,13,1015(1014.5),1017,1,640.42,640.42,393.69,196.84,350.25,105.08,360.82,72.16
13,Chile,14,1011(1011.29),998,1,584.18,584.18,386.02,193.01,469.12,140.73,466.84,93.37
14,Netherlands,15,967(967.42),1077,-4,403.65,403.65,485.47,242.73,336.06,100.82,1101.11,220.22
15,France,16,935(934.67),929,1,481.01,481.01,445.41,222.70,501.24,150.37,402.92,80.58
16,Ukraine,17,913(913.42),911,1,594.92,594.92,390.29,195.14,226.34,67.90,277.27,55.45
17,Russia,18,903(902.96),889,1,372.08,372.08,553.52,276.76,587.38,176.21,389.53,77.91
18,Mexico,19,876(875.74),888,1,404.36,404.36,524.36,262.18,471.03,141.31,339.44,67.89
19,Croatia,20,871(871.12),955,-4,268.93,268.93,649.93,324.97,617.72,185.32,459.54,91.91
20,Côte d'Ivoire,21,830(830.1),839,3,326.26,326.26,517.23,258.61,519.04,155.71,447.54,89.51
21,Scotland,22,825(824.73),721,15,594.04,594.04,166.25,83.13,366.44,109.93,188.19,37.64
22,Denmark,23,819(818.88),858,-1,355.11,355.11,365.36,182.68,660.19,198.06,415.18,83.04
23,Egypt,24,798(798.27),790,2,582.67,582.67,222.65,111.32,228.04,68.41,179.31,35.86
24,Bosnia and Herzegovina,25,795(795.24),863,-4,334.69,334.69,519.05,259.52,481.09,144.33,283.49,56.70
25,Sweden,25,795(794.86),789,2,363.92,363.92,367.96,183.98,536.22,160.87,430.48,86.10
26,Algeria,25,795(794.75),819,0,457.54,457.54,393.81,196.90,328.95,98.69,208.08,41.62
27,Ecuador,28,790(789.8),855,-5,276.65,276.65,731.89,365.95,379.31,113.79,167.06,33.41
28,Slovenia,29,787(786.97),746,2,529.05,529.05,147.83,73.92,305.36,91.61,461.96,92.39
29,Serbia,30,759(759.42),762,-2,449.17,449.17,289.00,144.50,266.13,79.84,429.59,85.92
30,Romania,31,756(755.7),740,1,401.73,401.73,436.19,218.09,326.68,98.00,189.34,37.87
31,Honduras,32,754(753.87),725,4,480.75,480.75,314.24,157.12,248.29,74.49,207.57,41.51
32,Armenia,33,750(750.01),699,8,520.63,520.63,103.28,51.64,354.85,106.45,356.46,71.29
33,Costa Rica,34,744(743.52),732,0,456.00,456.00,352.89,176.44,253.95,76.19,174.45,34.89
34,Panama,35,739(738.7),755,-6,392.48,392.48,382.75,191.38,330.69,99.21,278.18,55.64
35,Czech Republic,36,731(731.35),748,-6,311.87,311.87,434.77,217.38,467.00,140.10,309.97,61.99
36,IR Iran,37,715(715.23),692,5,439.32,439.32,250.48,125.24,288.80,86.64,320.17,64.03
37,Ghana,38,713(712.94),729,-3,270.20,270.20,446.37,223.18,381.86,114.56,524.95,104.99
38,Turkey,39,711(710.81),710,-1,392.72,392.72,285.88,142.94,322.00,96.60,392.75,78.55
39,Austria,40,673(672.89),641,4,445.36,445.36,241.30,120.65,234.61,70.38,182.50,36.50
