,Name,Ranks,Points,PrevPoints,RankChange,CurrentYear_Avg,CurrentYear_WtAvg,Year1_Avg,Year1_WtAvg,Year2_Avg,Year2_WtAvg,Year3_Avg,Year3_WtAvg
62,Zambia,63,0(0),540,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
63,Uzbekistan,64,0(0),542,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
64,Switzerland,65,0(0),540,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65,Zimbabwe,66,0(0),533,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
66,Hungary,67,0(0),537,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
67,Senegal,68,0(0),539,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
68,Togo,69,0(0),522,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
69,Bolivia,70,0(0),522,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
70,Bosnia and Herzegovina,71,0(0),522,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
71,Iraq,72,0(0),515,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
72,Liberia,73,0(0),515,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
73,Algeria,74,0(0),510,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
74,Cuba,75,0(0),509,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
75,Kuwait,76,0(0),512,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
76,Congo DR,77,0(0),509,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
77,Burkina Faso,78,0(0),502,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
78,Cyprus,79,0(0),500,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
79,Qatar,80,0(0),497,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
80,Venezuela,81,0(0),493,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
