,Name,Ranks,Points,PrevPoints,RankChange,CurrentYear_Avg,CurrentYear_WtAvg,Year1_Avg,Year1_WtAvg,Year2_Avg,Year2_WtAvg,Year3_Avg,Year3_WtAvg
0,Brazil,1,0(0),73,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,France,2,0(0),70,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,Germany,3,0(0),68,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,Croatia,4,0(0),66,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,Argentina,5,0(0),65,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,Czech Republic,6,0(0),64,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,Yugoslavia,7,0(0),64,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,Italy,8,0(0),64,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,Netherlands,9,0(0),64,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,England,10,0(0),62,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,Norway,11,0(0),62,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,Mexico,12,0(0),62,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,Romania,13,0(0),60,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,Spain,14,0(0),60,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,Chile,15,0(0),59,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,Morocco,16,0(0),58,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,Denmark,17,0(0),57,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17,USA,18,0(0),57,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,Colombia,19,0(0),57,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,Egypt,20,0(0),56,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20,Korea Republic,21,0(0),55,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21,Japan,22,0(0),55,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22,Zambia,23,0(0),54,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23,Austria,24,0(0),55,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24,Paraguay,25,0(0),54,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,Tunisia,26,0(0),54,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26,Jamaica,27,0(0),52,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27,South Africa,28,0(0),53,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28,Russia,29,0(0),53,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29,Belgium,30,0(0),52,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30,Sweden,31,0(0),52,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31,Saudi Arabia,32,0(0),50,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,Slovakia,33,0(0),51,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33,Uruguay,34,0(0),49,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34,Bulgaria,35,0(0),49,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,Scotland,36,0(0),48,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36,Cameroon,37,0(0),48,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
37,IR Iran,38,0(0),48,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
38,Australia,39,0(0),48,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
39,Poland,40,0(0),44,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
40,Peru,41,0(0),46,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41,Israel,42,0(0),48,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42,Portugal,43,0(0),46,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43,Ecuador,44,0(0),47,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
44,Thailand,45,0(0),45,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
45,Georgia,46,0(0),45,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
46,Trinidad and Tobago,47,0(0),42,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
47,Republic of Ireland,48,0(0),44,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48,Côte d'Ivoire,49,0(0),45,-4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,China PR,50,0(0),44,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
50,Greece,51,0(0),43,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
51,Costa Rica,52,0(0),43,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
52,Kuwait,53,0(0),43,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
53,Turkey,54,0(0),43,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
54,Lithuania,55,0(0),42,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
55,Angola,56,0(0),42,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
56,United Arab Emirates,57,0(0),42,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
57,Mali,58,0(0),39,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
58,Guinea,59,0(0),41,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
59,Hungary,60,0(0),42,-4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
60,Bolivia,61,0(0),43,-7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
61,Burkina Faso,62,0(0),39,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
62,Finland,63,0(0),41,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
63,Algeria,64,0(0),40,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
64,Nigeria,65,0(0),40,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65,Zaire,66,0(0),41,-6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
66,Ghana,67,0(0),39,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
67,Ukraine,68,0(0),39,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
68,Zimbabwe,69,0(0),38,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
69,Iceland,70,0(0),38,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
70,El Salvador,71,0(0),38,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
71,Qatar,72,0(0),38,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
72,Senegal,73,0(0),33,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
73,Namibia,74,0(0),34,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
74,Guatemala,75,0(0),36,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
75,Switzerland,76,0(0),37,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
76,FYR Macedonia,77,0(0),36,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
77,Mozambique,78,0(0),36,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
78,Togo,79,0(0),35,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
79,Cyprus,80,0(0),35,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
80,Cuba,81,0(0),35,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
81,Canada,82,0(0),35,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82,Malawi,83,0(0),28,17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
83,Kenya,84,0(0),30,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
84,Uzbekistan,85,0(0),33,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
85,Indonesia,86,0(0),33,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
86,Gabon,87,0(0),33,-5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
87,Honduras,88,0(0),32,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
88,Sierra Leone,89,0(0),32,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
89,Northern Ireland,90,0(0),32,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
90,Iraq,91,0(0),31,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
91,Singapore,92,0(0),31,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
92,Haiti,93,0(0),24,19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
93,Latvia,94,0(0),30,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
94,Slovenia,95,0(0),30,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
95,Estonia,96,0(0),26,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
96,Bosnia and Herzegovina,97,0(0),29,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
97,Vietnam,98,0(0),29,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
98,Malaysia,99,0(0),28,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99,Albania,100,0(0),28,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100,Uganda,101,0(0),21,17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
101,Azerbaijan,102,0(0),25,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
102,Wales,103,0(0),28,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
103,Oman,104,0(0),28,-6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
104,Myanmar,105,0(0),27,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
105,Belarus,106,0(0),27,-4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
106,Lebanon,107,0(0),28,-8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
107,Liberia,108,0(0),27,-4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
108,Tanzania,109,0(0),27,-4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
109,Grenada,110,0(0),25,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
110,Armenia,111,0(0),24,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
111,Kazakhstan,112,0(0),24,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
112,Barbados,113,0(0),24,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113,Syria,114,0(0),26,-8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
114,India,115,0(0),24,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
115,Congo,116,0(0),22,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
116,Sudan,117,0(0),23,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
117,Gambia,118,0(0),22,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
118,Venezuela,119,0(0),20,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
119,Faroe Islands,120,0(0),20,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
120,Tajikistan,121,0(0),19,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
121,Sri Lanka,122,0(0),19,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
122,Panama,123,0(0),19,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
123,Malta,124,0(0),19,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
