,Name,Ranks,Points,PrevPoints,RankChange,CurrentYear_Avg,CurrentYear_WtAvg,Year1_Avg,Year1_WtAvg,Year2_Avg,Year2_WtAvg,Year3_Avg,Year3_WtAvg
0,Brazil,1,0(0),68,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,Germany,2,0(0),64,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,France,3,0(0),61,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,Colombia,4,0(0),59,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,Czech Republic,5,0(0),61,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,Denmark,6,0(0),60,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,Russia,7,0(0),60,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,Spain,8,0(0),59,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,Netherlands,9,0(0),58,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,Italy,10,0(0),58,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,Mexico,11,0(0),56,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,England,12,0(0),56,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,Portugal,13,0(0),55,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,Norway,14,0(0),55,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,Bulgaria,15,0(0),53,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,Romania,16,0(0),53,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,Sweden,17,0(0),56,-4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17,USA,18,0(0),54,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,South Africa,19,0(0),53,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,Zambia,20,0(0),53,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20,Japan,21,0(0),52,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21,Argentina,22,0(0),53,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22,Tunisia,23,0(0),51,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23,Croatia,24,0(0),51,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24,Ghana,25,0(0),51,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,Chile,26,0(0),50,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26,Morocco,27,0(0),49,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
27,Egypt,28,0(0),49,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28,Scotland,29,0(0),48,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29,Slovakia,30,0(0),47,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30,Turkey,31,0(0),47,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31,Jamaica,32,0(0),46,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,Ecuador,33,0(0),46,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33,Austria,34,0(0),46,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34,Greece,35,0(0),46,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,Republic of Ireland,36,0(0),46,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36,Saudi Arabia,37,0(0),45,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
37,Paraguay,38,0(0),45,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
38,Bolivia,39,0(0),45,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
39,Canada,40,0(0),42,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
40,Trinidad and Tobago,41,0(0),45,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41,Belgium,42,0(0),44,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42,Uruguay,43,0(0),40,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43,Korea Republic,44,0(0),43,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
44,Honduras,45,0(0),43,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
45,Gabon,46,0(0),42,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
46,Switzerland,47,0(0),44,-4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
47,Lithuania,48,0(0),43,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48,Algeria,49,0(0),42,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,Australia,50,0(0),42,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
50,Côte d'Ivoire,51,0(0),46,-19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
51,Israel,52,0(0),39,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
52,Poland,53,0(0),41,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
53,Peru,54,0(0),40,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
54,Yugoslavia,55,0(0),38,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
55,Cameroon,56,0(0),43,-9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
56,Thailand,57,0(0),38,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
57,Senegal,58,0(0),39,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
58,Ukraine,59,0(0),37,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
59,Iceland,60,0(0),37,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
60,United Arab Emirates,60,0(0),35,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
61,Kuwait,62,0(0),33,17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
62,Nigeria,63,0(0),37,-5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
63,Northern Ireland,64,0(0),33,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
64,El Salvador,65,0(0),35,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65,Zaire,66,0(0),35,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
66,Mali,67,0(0),34,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
67,Cuba,68,0(0),36,-5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
68,Qatar,69,0(0),36,-5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
69,Angola,70,0(0),35,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
70,Zimbabwe,71,0(0),37,-9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
71,Costa Rica,72,0(0),32,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
72,Guinea,73,0(0),33,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
73,Sudan,74,0(0),31,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
74,Hungary,75,0(0),34,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
75,China PR,76,0(0),33,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
76,Slovenia,77,0(0),34,-7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
77,Cyprus,78,0(0),33,-4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
78,Finland,79,0(0),33,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
79,Wales,80,0(0),32,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
80,Uganda,81,0(0),26,15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
81,Latvia,82,0(0),32,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
82,IR Iran,83,0(0),33,-6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
83,Sierra Leone,84,0(0),35,-18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
84,Mozambique,85,0(0),32,-4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
85,FYR Macedonia,86,0(0),29,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
86,Togo,87,0(0),31,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
87,Malawi,88,0(0),30,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
88,Tanzania,89,0(0),31,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
89,Belarus,90,0(0),29,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
90,Oman,91,0(0),29,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
91,Singapore,92,0(0),27,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
92,St Vincent and the Grenadines,93,0(0),28,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
93,Liberia,94,0(0),27,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
94,Georgia,95,0(0),27,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
95,Malaysia,96,0(0),27,-4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
96,Lebanon,97,0(0),25,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
97,Iraq,98,0(0),17,31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
98,Vietnam,99,0(0),24,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99,Congo,100,0(0),26,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100,Panama,101,0(0),23,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
101,Estonia,102,0(0),25,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
102,Namibia,103,0(0),25,-5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
103,Myanmar,104,0(0),25,-4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
104,Guatemala,105,0(0),22,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
105,Armenia,106,0(0),23,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
106,Burkina Faso,107,0(0),23,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
107,Ethiopia,108,0(0),24,-6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
108,Uzbekistan,109,0(0),20,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
109,Barbados,110,0(0),23,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
110,Venezuela,111,0(0),23,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
111,Kenya,112,0(0),23,-6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
112,Mauritania,113,0(0),23,-8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113,Haiti,114,0(0),22,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
114,Syria,115,0(0),19,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
115,Albania,116,0(0),22,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
116,Moldova,117,0(0),21,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
117,Bahrain,118,0(0),21,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
118,Indonesia,119,0(0),21,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
119,India,120,0(0),23,-9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
120,St Kitts and Nevis,121,0(0),20,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
121,Malta,122,0(0),19,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
122,Luxembourg,123,0(0),18,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
123,Hong Kong,124,0(0),18,-1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
124,Azerbaijan,125,0(0),18,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
125,Sri Lanka,126,0(0),17,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
126,Grenada,127,0(0),18,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
127,Gambia,128,0(0),19,-7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
128,Niger,129,0(0),17,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
129,Dominican Republic,130,0(0),16,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
130,Suriname,131,0(0),17,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
131,New Zealand,132,0(0),14,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
132,Guinea-Bissau,133,0(0),18,-7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
133,St Lucia,134,0(0),15,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
134,Faroe Islands,135,0(0),14,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
135,Bangladesh,136,0(0),15,-3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
136,Burundi,137,0(0),13,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
137,Dominica,138,0(0),12,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
138,Yemen,139,0(0),12,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
139,Madagascar,140,0(0),11,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
140,Turkmenistan,141,0(0),11,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
141,Netherlands Antilles,142,0(0),10,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
142,Benin,143,0(0),11,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
143,Korea DPR,144,0(0),11,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
144,Antigua and Barbuda,145,0(0),10,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
145,Jordan,146,0(0),9,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
146,Laos,147,0(0),10,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
147,Cayman Islands,148,0(0),9,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
