,Name,Ranks,Points,PrevPoints,RankChange,CurrentYear_Avg,CurrentYear_WtAvg,Year1_Avg,Year1_WtAvg,Year2_Avg,Year2_WtAvg,Year3_Avg,Year3_WtAvg
0,Spain,1,1566(1566),1564,0,624.97,624.97,1011.28,505.64,796.55,238.96,982.13,196.43
1,Germany,2,1369(1369.04),1345,1,642.96,642.96,885.81,442.90,492.91,147.87,676.56,135.31
2,Netherlands,3,1359(1359.3),1365,-1,489.95,489.95,1053.67,526.84,674.73,202.42,700.47,140.09
3,Uruguay,4,1317(1317.11),1309,0,726.15,726.15,681.79,340.90,535.29,160.59,447.35,89.47
4,England,5,1179(1179.23),1173,0,571.45,571.45,672.54,336.27,571.10,171.33,500.88,100.18
5,Portugal,6,1155(1155.17),1100,1,623.39,623.39,489.43,244.71,674.06,202.22,424.23,84.85
6,Brazil,7,1152(1152.45),1143,-1,445.72,445.72,636.54,318.27,966.13,289.84,493.10,98.62
7,Italy,8,1115(1115.26),1082,1,657.86,657.86,380.05,190.02,550.24,165.07,511.54,102.31
8,Croatia,9,1101(1101.13),1091,-1,574.15,574.15,533.25,266.63,458.83,137.65,613.50,122.70
9,Denmark,10,1090(1089.61),1032,1,698.67,698.67,369.69,184.85,468.39,140.52,327.83,65.57
10,Argentina,11,1081(1080.56),1067,-1,418.10,418.10,876.97,438.49,455.83,136.75,436.11,87.22
11,Chile,12,996(996.33),973,0,497.09,497.09,465.16,232.58,614.41,184.32,411.69,82.34
12,Russia,13,989(988.84),971,0,515.62,515.62,402.25,201.13,466.00,139.80,661.46,132.29
13,Greece,14,979(978.82),964,0,487.68,487.68,487.48,243.74,619.44,185.83,307.86,61.57
14,Côte d'Ivoire,15,967(966.55),889,3,566.04,566.04,377.18,188.59,530.84,159.25,263.33,52.67
15,Switzerland,16,950(950.04),898,0,497.50,497.50,371.87,185.93,570.63,171.19,477.08,95.42
16,France,17,930(930.36),915,-2,477.84,477.84,373.52,186.76,642.86,192.86,364.48,72.90
17,Sweden,18,924(924.28),891,-1,561.18,561.18,382.93,191.47,344.22,103.27,341.78,68.36
18,Bosnia and Herzegovina,19,920(920.23),869,0,640.20,640.20,220.22,110.11,395.53,118.66,256.31,51.26
19,Republic of Ireland,20,893(892.65),864,3,551.42,551.42,284.07,142.03,368.15,110.45,443.76,88.75
20,Mexico,21,882(881.52),866,0,479.14,479.14,327.57,163.79,597.62,179.29,296.52,59.30
21,Australia,22,832(832.32),866,-1,387.18,387.18,428.31,214.15,486.16,145.85,425.69,85.14
22,Ghana,23,819(819.33),779,3,391.17,391.17,511.76,255.88,440.98,132.29,199.96,39.99
23,Norway,24,793(792.91),788,0,334.34,334.34,548.10,274.05,482.49,144.75,198.85,39.77
