,Name,Ranks,Points,PrevPoints,RankChange,CurrentYear_Avg,CurrentYear_WtAvg,Year1_Avg,Year1_WtAvg,Year2_Avg,Year2_WtAvg,Year3_Avg,Year3_WtAvg
0,Spain,1,1606(1605.76),1564,0,830.72,830.72,610.39,305.20,1044.29,313.29,782.76,156.55
1,Germany,2,1437(1437.49),1421,0,765.86,765.86,607.88,303.94,926.92,278.07,448.10,89.62
2,Argentina,3,1290(1289.95),1349,0,733.76,733.76,425.62,212.81,827.70,248.31,475.37,95.07
3,Italy,4,1165(1164.67),1169,1,633.64,633.64,619.46,309.73,395.30,118.59,513.56,102.71
4,Colombia,5,1164(1163.55),1110,3,794.27,794.27,446.83,223.41,184.48,55.34,452.66,90.53
5,England,6,1151(1150.93),1167,0,558.77,558.77,565.29,282.65,685.58,205.67,519.18,103.84
6,Portugal,7,1144(1143.79),1178,-3,573.67,573.67,561.05,280.53,530.21,159.06,652.64,130.53
7,Netherlands,8,1124(1124.02),1128,-1,428.54,428.54,487.68,243.84,1088.30,326.49,625.75,125.15
8,Russia,9,1070(1069.71),1084,0,604.23,604.23,468.75,234.37,459.71,137.91,466.00,93.20
9,Croatia,10,1064(1064.23),1078,0,525.55,525.55,568.32,284.16,535.83,160.75,468.85,93.77
10,Greece,11,1033(1033.06),1004,1,530.65,530.65,475.24,237.62,499.90,149.97,574.10,114.82
11,Switzerland,12,1004(1003.72),966,4,554.91,554.91,447.78,223.89,398.69,119.61,526.56,105.31
12,Ecuador,13,999(998.93),951,4,699.08,699.08,337.39,168.70,175.28,52.58,392.87,78.57
13,Côte d'Ivoire,14,995(995.37),974,1,535.56,535.56,460.53,230.27,399.79,119.94,548.01,109.60
14,Mexico,15,994(994.5),984,-1,550.93,550.93,478.99,239.50,321.67,96.50,537.86,107.57
15,Uruguay,16,975(974.59),1047,-5,303.35,303.35,726.15,363.07,681.79,204.54,518.13,103.63
16,France,17,949(949.42),938,1,481.29,481.29,486.32,243.16,357.02,107.11,589.29,117.86
17,Brazil,18,946(945.73),994,-5,341.21,341.21,417.86,208.93,689.59,206.88,943.54,188.71
18,Algeria,19,887(886.86),907,0,495.20,495.20,392.16,196.08,270.82,81.25,571.63,114.33
19,Sweden,20,870(870.28),826,3,420.95,420.95,537.78,268.89,369.26,110.78,348.30,69.66
20,Belgium,21,868(867.69),881,-1,542.17,542.17,395.59,197.80,278.07,83.42,221.49,44.30
